violation_name,count,percentage
color-contrast-enhanced,502,14.25
region,382,10.84
color-contrast,245,6.95
duplicate-id,230,6.53
link-name,200,5.68
landmark-unique,180,5.11
landmark-one-main,178,5.05
page-has-heading-one,177,5.02
heading-order,164,4.65
image-alt,115,3.26
button-name,71,2.01
empty-heading,66,1.87
duplicate-id-aria,65,1.84
duplicate-id-active,59,1.67
meta-viewport,53,1.5
aria-allowed-attr,52,1.48
scrollable-region-focusable,49,1.39
html-has-lang,48,1.36
aria-allowed-role,45,1.28
frame-title,41,1.16
